"Story","Title","Result","Date","Stability","Duration (s)"
"Spartan admin get test","Get one spartan assertion","SUCCESS","2022-08-07T17:13:03.4338599+03:00[Asia/Istanbul]","0.0","12.62"
"Spartan admin get test","Get all spartan","SUCCESS","2022-08-07T17:13:16.1177059+03:00[Asia/Istanbul]","0.0","1.18"
"Spartan admin get test","Get one spartan","SUCCESS","2022-08-07T17:13:17.3042525+03:00[Asia/Istanbul]","0.0","2.0"
